simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
14.8206,16,31,5,5.69605,1.73041,2.30259,0,LagrangianGreedy
16.0455,29,31,5,5.94932,1.37355,2.30259,0,LagrangianGreedy
23.5065,48,76,1,24.7991,0.335673,2.30259,0,LagrangianGreedy
24.3273,23,312,2,2.74464,0.649036,2.30259,0,LagrangianGreedy
27.0217,149,84,1,1.67312,0.212989,2.30259,0,LagrangianGreedy
28.4388,133,73,1,1.9661,0.159665,2.30259,0,LagrangianGreedy
29.1411,12,32,1,1.71984,0.133284,2.30259,0,LagrangianGreedy
31.5215,113,393,1,1.92756,0.113176,2.30259,0,LagrangianGreedy
33.1411,12,32,1,1.70355,0.0991432,2.30259,0,LagrangianGreedy
36.0293,184,477,1,1.74161,0.0878119,2.30259,0,LagrangianGreedy
37.2335,38,266,1,2.06215,0.321179,2.30259,0,LagrangianGreedy
43.5369,124,283,1,1.975,0.220437,2.30259,0,LagrangianGreedy
43.6253,274,533,1,2.15665,0.0808656,2.30259,0,LagrangianGreedy
44.8329,144,548,1,1.81632,0.138875,2.30259,0,LagrangianGreedy
45.1066,214,414,1,13.711,0.119599,2.30259,0,LagrangianGreedy
45.8421,218,194,1,1.93787,0.32131,2.30259,0,LagrangianGreedy
46.4145,217,133,3,4.28348,0.848117,2.30259,0,LagrangianGreedy
49.7453,552,493,1,1.96869,0.217732,2.30259,0,LagrangianGreedy
