simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
16.8359,5,154,3,3.85495,1.04112,2.30259,0,ExactBaseline
17.4277,42,184,1,1.72165,0.346865,2.30259,0,ExactBaseline
19.428,42,151,1,2.10771,0.334049,2.30259,0,ExactBaseline
19.4375,12,115,1,1.71107,0.340031,2.30259,0,ExactBaseline
20.4327,72,183,3,3.82328,1.06529,2.30259,0,ExactBaseline
21.5457,35,154,1,1.69228,0.343742,2.30259,0,ExactBaseline
22.109,41,54,1,1.81539,0.181702,2.30259,0,ExactBaseline
22.4312,87,286,2,2.88951,0.526513,2.30259,0,ExactBaseline
22.7294,17,215,1,1.93332,0.238639,2.30259,0,ExactBaseline
23.6097,57,115,1,1.81474,0.23109,2.30259,0,ExactBaseline
23.6265,18,60,1,1.81178,0.360014,2.30259,0,ExactBaseline
24.5078,132,322,2,24.3755,0.675506,2.30259,0,ExactBaseline
24.7122,77,164,3,3.7996,0.920399,2.30259,0,ExactBaseline
25.032,153,219,3,3.90102,1.09452,2.30259,0,ExactBaseline
25.0399,135,274,1,1.85365,0.350413,2.30259,0,ExactBaseline
25.0495,66,57,1,1.90892,0.232782,2.30259,0,ExactBaseline
25.1216,129,36,1,1.7303,0.237648,2.30259,0,ExactBaseline
25.4195,144,60,1,2.11471,0.248131,2.30259,0,ExactBaseline
25.6256,44,192,1,1.67805,0.349276,2.30259,0,ExactBaseline
25.7092,152,26,3,3.94498,0.811241,2.30259,0,ExactBaseline
26.0455,149,227,2,2.74817,0.686514,2.30259,0,ExactBaseline
26.1362,162,105,3,3.95514,0.7164,2.30259,0,ExactBaseline
26.3495,59,203,1,1.9305,0.233007,2.30259,0,ExactBaseline
26.8087,80,154,3,8.44678,0.655705,2.30259,0,ExactBaseline
27.0186,38,126,3,3.81446,0.926993,2.30259,0,ExactBaseline
27.3186,179,351,2,2.74128,0.60578,2.30259,0,ExactBaseline
27.326,133,268,1,1.67664,0.232695,2.30259,0,ExactBaseline
27.5422,136,135,1,1.92551,0.181165,2.30259,0,ExactBaseline
27.6263,185,96,2,2.73244,0.51738,2.30259,0,ExactBaseline
27.6318,56,131,3,3.85841,1.04514,2.30259,0,ExactBaseline
27.9095,48,176,3,23.299,0.638699,2.30259,0,ExactBaseline
28.0465,149,30,3,3.79186,0.732346,2.30259,0,ExactBaseline
28.1112,41,25,3,3.99609,0.829902,2.30259,0,ExactBaseline
28.2334,36,384,2,2.89693,0.53351,2.30259,0,ExactBaseline
28.3492,59,336,1,1.67888,0.348152,2.30259,0,ExactBaseline
28.4474,89,83,1,1.71123,0.234624,2.30259,0,ExactBaseline
28.533,8,329,1,1.71017,0.354624,2.30259,0,ExactBaseline
28.7121,77,56,3,3.70244,0.960289,2.30259,0,ExactBaseline
28.8274,91,268,3,3.92218,0.746792,2.30259,0,ExactBaseline
28.8444,134,207,2,2.63446,0.717214,2.30259,0,ExactBaseline
29.0087,105,329,3,4.11982,0.747838,2.30259,0,ExactBaseline
29.1244,50,371,3,3.8391,1.06693,2.30259,0,ExactBaseline
29.1422,67,268,3,3.86868,0.554357,2.30259,0,ExactBaseline
29.3105,219,135,1,1.80771,0.129474,2.30259,0,ExactBaseline
29.3458,99,90,2,2.74594,0.582798,2.30259,0,ExactBaseline
29.4203,144,4,2,2.9489,0.51458,2.30259,0,ExactBaseline
29.4374,12,286,1,1.67427,0.23635,2.30259,0,ExactBaseline
29.5478,35,400,3,3.70974,0.830511,2.30259,0,ExactBaseline
29.733,233,372,2,3.24869,0.462293,2.30259,0,ExactBaseline
29.8404,20,234,1,2.04565,0.538997,2.30259,0,ExactBaseline
30.1138,131,104,1,1.69521,0.346471,2.30259,0,ExactBaseline
30.1371,166,265,1,2.02667,0.221991,2.30259,0,ExactBaseline
30.1394,118,410,1,1.72217,0.181069,2.30259,0,ExactBaseline
30.4255,184,54,2,2.61845,0.412227,2.30259,0,ExactBaseline
30.4325,87,306,3,4.18791,0.884089,2.30259,0,ExactBaseline
30.6092,154,369,3,3.90579,0.643545,2.30259,0,ExactBaseline
30.6184,116,66,3,4.08236,0.840216,2.30259,0,ExactBaseline
30.7125,77,176,3,4.13586,0.772715,2.30259,0,ExactBaseline
30.8195,249,394,2,3.55961,0.352853,2.30259,0,ExactBaseline
30.8198,158,269,1,2.68816,0.237691,2.30259,0,ExactBaseline
30.9081,53,383,3,30.9027,1.00143,2.30259,0,ExactBaseline
31.0323,251,39,1,1.84846,0.431165,2.30259,0,ExactBaseline
31.2488,254,304,2,2.86262,0.573722,2.30259,0,ExactBaseline
31.3282,133,80,3,3.94292,0.683246,2.30259,0,ExactBaseline
31.3468,137,306,1,1.81128,0.349989,2.30259,0,ExactBaseline
31.5115,170,313,3,4.16682,0.656602,2.30259,0,ExactBaseline
31.6097,57,94,1,1.79454,0.149632,2.30259,0,ExactBaseline
31.6483,39,85,1,1.83765,0.354262,2.30259,0,ExactBaseline
32.0456,149,308,2,2.8478,0.510676,2.30259,0,ExactBaseline
32.3105,192,73,3,4.05945,0.667228,2.30259,0,ExactBaseline
32.4474,89,401,1,1.67551,0.2286,2.30259,0,ExactBaseline
32.5113,139,8,1,2.02363,0.351171,2.30259,0,ExactBaseline
32.6106,154,199,4,5.29194,0.764805,2.30259,0,ExactBaseline
32.8273,91,246,3,3.83111,0.820242,2.30259,0,ExactBaseline
33.3178,179,375,1,1.94431,0.0898355,2.30259,0,ExactBaseline
33.3478,137,469,2,2.75951,0.430725,2.30259,0,ExactBaseline
33.6098,57,115,1,1.94082,0.124722,2.30259,0,ExactBaseline
33.8383,76,399,2,2.81385,0.316543,2.30259,0,ExactBaseline
34.0084,19,86,2,6.9806,0.236156,2.30259,0,ExactBaseline
34.0469,149,155,3,4.15682,0.452242,2.30259,0,ExactBaseline
34.2322,276,170,2,3.01289,0.531636,2.30259,0,ExactBaseline
34.3261,147,9,3,3.8935,0.642887,2.30259,0,ExactBaseline
34.5162,193,450,3,4.32958,0.401776,2.30259,0,ExactBaseline
34.8198,249,322,3,3.92056,0.644334,2.30259,0,ExactBaseline
34.8253,91,375,1,1.80095,0.184711,2.30259,0,ExactBaseline
35.0399,135,87,1,1.79018,0.101427,2.30259,0,ExactBaseline
35.2478,254,361,1,1.88549,0.245406,2.30259,0,ExactBaseline
35.3177,179,375,1,1.83031,0.0900884,2.30259,0,ExactBaseline
35.441,86,300,2,2.90767,0.212181,2.30259,0,ExactBaseline
36.0316,316,289,1,1.69019,0.191717,2.30259,0,ExactBaseline
36.1138,131,438,1,1.73542,0.370427,2.30259,0,ExactBaseline
36.1365,346,161,2,3.0066,0.70184,2.30259,0,ExactBaseline
36.1409,118,44,2,3.25619,0.474547,2.30259,0,ExactBaseline
36.3252,147,101,2,2.94573,0.435202,2.30259,0,ExactBaseline
36.6471,182,122,3,4.39109,0.464278,2.30259,0,ExactBaseline
36.8252,91,395,1,1.72217,0.350527,2.30259,0,ExactBaseline
37.3334,207,211,1,1.67429,0.354957,2.30259,0,ExactBaseline
37.3368,355,409,1,1.87709,0.236318,2.30259,0,ExactBaseline
37.347,99,416,3,3.9048,0.942353,2.30259,0,ExactBaseline
37.4413,86,520,2,3.21339,0.707161,2.30259,0,ExactBaseline
37.5067,265,150,1,21.1344,0.253051,2.30259,0,ExactBaseline
37.5117,170,127,3,4.41302,0.567964,2.30259,0,ExactBaseline
37.5423,136,434,1,2.02297,0.113893,2.30259,0,ExactBaseline
37.7261,375,268,2,2.87965,0.219423,2.30259,0,ExactBaseline
37.7388,347,344,1,1.68517,0.358311,2.30259,0,ExactBaseline
37.8386,76,3,2,3.11483,0.478087,2.30259,0,ExactBaseline
37.8426,20,369,3,4.17794,0.571071,2.30259,0,ExactBaseline
38.1236,22,48,2,2.98164,0.484149,2.30259,0,ExactBaseline
38.1427,378,435,2,2.83861,0.579631,2.30259,0,ExactBaseline
38.2308,276,104,1,1.67313,0.18825,2.30259,0,ExactBaseline
38.3088,83,495,3,26.5173,0.571113,2.30259,0,ExactBaseline
38.3307,362,50,3,4.34664,0.727233,2.30259,0,ExactBaseline
38.4304,87,272,1,2.07762,0.158063,2.30259,0,ExactBaseline
38.4381,374,224,1,1.94872,0.200156,2.30259,0,ExactBaseline
38.4477,89,532,1,1.92439,0.138572,2.30259,0,ExactBaseline
38.5112,139,199,1,1.99371,0.372711,2.30259,0,ExactBaseline
38.7103,77,445,1,1.9537,0.193365,2.30259,0,ExactBaseline
38.7407,314,545,2,3.00121,0.326867,2.30259,0,ExactBaseline
38.8251,91,395,1,1.68792,0.114372,2.30259,0,ExactBaseline
38.8291,65,484,1,1.83724,0.106614,2.30259,0,ExactBaseline
38.8491,315,289,2,3.23686,0.543068,2.30259,0,ExactBaseline
38.9111,176,419,3,4.02747,1.10425,2.30259,0,ExactBaseline
39.0346,251,44,3,4.12409,0.341416,2.30259,0,ExactBaseline
39.3114,219,441,2,2.78164,0.385686,2.30259,0,ExactBaseline
39.3158,111,514,2,4.57011,0.361088,2.30259,0,ExactBaseline
39.4458,393,336,3,3.95394,0.451197,2.30259,0,ExactBaseline
39.6093,28,333,3,31.77,0.836142,2.30259,0,ExactBaseline
40.107,304,87,1,20.4354,0.0872203,2.30259,0,ExactBaseline
40.5111,139,8,1,1.886,0.260901,2.30259,0,ExactBaseline
40.5202,313,250,2,3.02919,0.601752,2.30259,0,ExactBaseline
40.8199,249,485,3,4.03467,0.726141,2.30259,0,ExactBaseline
40.8252,91,21,1,1.71068,0.239015,2.30259,0,ExactBaseline
41.0131,267,115,3,4.44039,0.457723,2.30259,0,ExactBaseline
41.0315,286,278,1,2.17226,0.124372,2.30259,0,ExactBaseline
41.0402,135,531,1,2.12583,0.186549,2.30259,0,ExactBaseline
41.1231,397,404,3,4.35985,0.511984,2.30259,0,ExactBaseline
