simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
19.0303,31,140,1,1.81311,0.344389,2.30259,0,LagrangianGreedy
25.4289,96,125,1,1.80464,0.336262,2.30259,0,LagrangianGreedy
27.3122,135,352,1,1.92304,0.332221,2.30259,0,LagrangianGreedy
29.6265,100,128,2,3.13696,0.645358,2.30259,0,LagrangianGreedy
32.3241,185,61,1,1.7174,0.224566,2.30259,0,LagrangianGreedy
34.4065,305,358,1,10.4079,0.31604,2.30259,0,LagrangianGreedy
36.1295,119,27,1,1.75161,0.3172,2.30259,0,LagrangianGreedy
40.8243,43,94,1,2.1639,0.321387,2.30259,0,LagrangianGreedy
41.5435,0,340,2,2.86528,0.666945,2.30259,0,LagrangianGreedy
42.6459,27,119,1,1.70851,0.214721,2.30259,0,LagrangianGreedy
43.5263,412,533,1,1.68221,0.165696,2.30259,0,LagrangianGreedy
44.6487,21,248,1,1.83742,0.319927,2.30259,0,LagrangianGreedy
49.6274,552,493,1,1.93687,0.220839,2.30259,0,LagrangianGreedy
