simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
19.5086,3,233,3,42.5928,1.01237,2.30259,0,RLPolicy
24.2137,79,68,1,2.06572,0.344173,2.30259,0,RLPolicy
24.6162,116,315,1,1.81425,0.364356,2.30259,0,RLPolicy
27.0167,38,82,1,1.93553,0.173472,2.30259,0,RLPolicy
27.14,67,21,1,1.68916,0.335438,2.30259,0,RLPolicy
27.1435,74,193,1,1.95115,0.143067,2.30259,0,RLPolicy
29.4279,42,151,1,1.99172,0.333966,2.30259,0,RLPolicy
30.2129,172,179,1,1.67428,0.097344,2.30259,0,RLPolicy
30.5109,139,60,1,1.68887,0.326116,2.30259,0,RLPolicy
31.0165,38,169,1,1.70045,0.088178,2.30259,0,RLPolicy
31.1224,50,173,1,1.85428,0.0818192,2.30259,0,RLPolicy
33.0126,274,86,1,1.71149,0.213594,2.30259,0,RLPolicy
36.2133,172,12,1,2.05781,0.0731061,2.30259,0,RLPolicy
38.2392,335,151,1,2.0051,0.144175,2.30259,0,RLPolicy
40.6163,116,184,1,1.9387,0.205229,2.30259,0,RLPolicy
40.6275,121,27,1,1.93326,0.325607,2.30259,0,RLPolicy
41.6099,57,278,1,1.9761,0.0700423,2.30259,0,RLPolicy
41.7072,152,219,1,1.92018,0.155077,2.30259,0,RLPolicy
43.1068,285,169,1,47.1574,0.123588,2.30259,0,RLPolicy
43.4397,86,57,1,1.67767,0.110586,2.30259,0,RLPolicy
44.2181,323,169,1,1.80335,0.126553,2.30259,0,RLPolicy
44.5068,449,340,1,32.6311,0.163063,2.30259,0,RLPolicy
45.4382,12,278,1,2.40052,0.0657768,2.30259,0,RLPolicy
46.8396,219,315,1,1.84262,0.0950477,2.30259,0,RLPolicy
47.4277,42,196,1,1.72195,0.223249,2.30259,0,RLPolicy
48.3242,478,19,1,1.67979,0.212958,2.30259,0,RLPolicy
49.1265,458,280,1,1.80738,0.0837642,2.30259,0,RLPolicy
49.8472,101,87,1,1.69289,0.320653,2.30259,0,RLPolicy
