simTime,src,dst,hops,realDelayMs,trustCost,budget,violated,policyMode
19.3349,5,18,1,1.83464,0.341904,2.30259,0,RLPolicy
19.6481,53,192,3,4.22817,0.922404,2.30259,0,RLPolicy
20.2239,25,104,4,4.78592,1.36431,2.30259,0,RLPolicy
20.5388,58,104,1,1.68305,0.337258,2.30259,0,RLPolicy
20.709,28,53,3,3.80547,1.01894,2.30259,0,RLPolicy
22.007,34,43,1,17.99,0.334654,2.30259,0,RLPolicy
22.539,58,255,1,1.92481,0.232112,2.30259,0,RLPolicy
22.9353,32,12,2,2.75385,0.677064,2.30259,0,RLPolicy
25.4195,88,338,1,2.0683,0.324275,2.30259,0,RLPolicy
26.0186,20,186,2,2.89813,0.556846,2.30259,0,RLPolicy
26.7337,43,34,1,1.75817,0.335109,2.30259,0,RLPolicy
27.0354,40,232,1,1.85003,0.172046,2.30259,0,RLPolicy
27.9206,104,274,1,1.7234,0.223312,2.30259,0,RLPolicy
28.0089,34,133,3,19.8318,0.59045,2.30259,0,RLPolicy
30.434,74,102,1,1.73537,0.227658,2.30259,0,RLPolicy
30.5345,186,43,1,1.81238,0.173757,2.30259,0,RLPolicy
31.1152,38,234,3,3.82187,0.409077,2.30259,0,RLPolicy
33.0374,40,402,3,3.8225,0.38201,2.30259,0,RLPolicy
33.6379,230,394,3,4.06098,0.796496,2.30259,0,RLPolicy
33.8066,171,12,1,12.182,0.104483,2.30259,0,RLPolicy
35.52,200,346,1,1.68084,0.322743,2.30259,0,RLPolicy
36.8221,306,387,1,1.71399,0.340165,2.30259,0,RLPolicy
36.9069,2,480,1,13.3403,0.333263,2.30259,0,RLPolicy
37.0067,80,498,1,9.78247,0.33081,2.30259,0,RLPolicy
37.0133,137,304,1,1.93373,0.329972,2.30259,0,RLPolicy
38.3165,234,515,3,4.06222,0.300573,2.30259,0,RLPolicy
39.547,141,224,1,2.05228,0.234271,2.30259,0,RLPolicy
40.0177,20,127,1,1.976,0.106015,2.30259,0,RLPolicy
40.1474,65,247,1,2.06539,0.134787,2.30259,0,RLPolicy
40.8298,252,274,3,4.03437,0.721966,2.30259,0,RLPolicy
42.2208,25,476,1,1.69064,0.164479,2.30259,0,RLPolicy
42.2488,409,241,1,1.96771,0.0671961,2.30259,0,RLPolicy
44.0071,34,67,1,18.0913,0.119936,2.30259,0,RLPolicy
44.147,65,490,1,1.6849,0.116844,2.30259,0,RLPolicy
44.2211,25,476,1,1.94708,0.136546,2.30259,0,RLPolicy
44.5218,347,17,3,3.8036,1.01282,2.30259,0,RLPolicy
44.5357,186,104,2,2.99316,0.230374,2.30259,0,RLPolicy
44.5392,58,172,1,2.06206,0.118022,2.30259,0,RLPolicy
44.824,214,414,3,3.55086,0.675975,2.30259,0,RLPolicy
45.7091,466,53,3,47.8523,0.51848,2.30259,0,RLPolicy
45.9069,310,523,1,9.65795,0.222735,2.30259,0,RLPolicy
46.3188,103,582,1,1.84565,0.224784,2.30259,0,RLPolicy
46.825,214,500,3,4.62328,0.359083,2.30259,0,RLPolicy
49.2107,267,113,1,2.16128,0.0888115,2.30259,0,RLPolicy
49.7425,366,331,1,1.95058,0.205175,2.30259,0,RLPolicy
49.9209,104,397,1,2.05344,0.115596,2.30259,0,RLPolicy
